"Customer Name";"نام مشتری"
"SMS Content";"متن پیامک"
"Order Date";"تاریخ ثبت سفارش"
"Test Phone";"شماره آزمایشی"
"Order Status";"وضعیت ثبت"
"Control Status";"وضعیت کنترل"
"Control Status:";"وضعیت کنترل:"
"Dispatch Status";"وضعیت ارسال"
"Dispatch Status:";"وضعیت ارسال:"
"Destination";"مقاصد"
"Review";"مرور"
"Create a new order";"ایجاد یک سفارش جدید"
"Select a customer:";"انتخاب مشتری:"
"Enter your message:";"متن پیام:"
"Test Phone:";"شماره تلفن آزمایشی:"
"Order ID";"شماره سفارش"
"Destination Type";"نوع مقصد"
"Destination Value";"مقدار مقصد"
"Dispatch Date";"تاریخ ارسال"
"Quantity";"تعداد"
"Requested";"درخواست شده"
"Create a new destination";"ایجاد یک مقصد جدید"
"Order Details";"جزئیات سفارش"
"Sender Company:";"شرکت سفارش دهنده:"
"Sender Customer:";"شخص سفارش دهنده:"
"Order Date:";"تاریخ سفارش:"
"Order Status:";"وضعیت ثبت سفارش:"
"Ready to confirm!";"آماده تایید!"
"Confirmed!";"تایید شده!"
"Confirm";"تایید"
"Suspend";"تعلیق"
"List of Destinations";"لیست مقاصد"
"Destination Type:";"نوع مقصد:"
"Destination Value:";"مقدار مقصد:"
"Orderer Username";"نام کاربری سفارش دهنده"
"orderer";"مسئول سفارش"
"controller";"مسئول کنترل"
"dispatcher";"مسئول ارسال"
"Date the issue occurred (yyyy-mm-dd hh:mm:ss):";"تاریخ (سال-ماه-روز ساعت:دقیقه:ثانیه)"
"Date the issue occurred (yyyy-mm-dd hh:mm):";"تاریخ (سال-ماه-روز ساعت:دقیقه)"
"Destination Order:";"ترتیب مقاصد:"
"Destination Start:";"ابتدای محدوده:"
"Destination End:";"انتهای محدوده:"
"There is no order!";"سفارشی موجود نیست!"
"Message Length:";"طول پیامک:"
"SMS Quantity:";"تعداد پیامک:"
"SMS Quantity";"تعداد پیامک"
"There is no destination!";"هیچ مقصدی وجود ندارد!"
"Send";"ارسال"
"Destination ID";"شماره مقصد"
"Bulk ID";"شماره بالک"
"Destination Information";"اطلاعات مقصد"
"Destination Status";"وضعیت مقصد"
"GetStatusResult";"وضعیت نهایی بسته پیامک ارسالی"
"Delivered";"تحویل شده"
"Sent";"ارسال شده"
